Ensembl Transcript ID	Associated Gene Name
ENST00000392202	PIKFYVE
ENST00000264380	PIKFYVE
ENST00000407449	PIKFYVE
ENST00000308862	PIKFYVE
ENST00000422495	PIKFYVE
ENST00000452564	PIKFYVE
ENST00000369575	GAB3
ENST00000369568	GAB3
ENST00000424127	GAB3
ENST00000454973	GAB3
ENST00000589666	UNK
ENST00000587258	UNK
ENST00000406396	KDSR
ENST00000591902	KDSR
ENST00000326575	KDSR
ENST00000592327	KDSR
ENST00000476712	CFHR2
ENST00000367415	CFHR2
ENST00000620244	LILRB5
ENST00000622596	LILRB5
ENST00000621193	LILRB5
ENST00000614318	LILRB5
ENST00000394417	UGP2
ENST00000484142	UGP2
ENST00000482668	UGP2
ENST00000467648	UGP2
ENST00000480679	UGP2
ENST00000337130	UGP2
ENST00000488245	UGP2
ENST00000497883	UGP2
ENST00000445915	UGP2
ENST00000475462	UGP2
ENST00000491621	UGP2
ENST00000472047	UGP2
ENST00000613823	UGP2
ENST00000627474	UGP2
ENST00000626380	UGP2
ENST00000453129	CLDN25
ENST00000306494	SLC22A25
ENST00000534206	ACER3
ENST00000532485	ACER3
ENST00000526597	ACER3
ENST00000533873	ACER3
ENST00000277216	OR13C4
ENST00000209668	ADH1A
ENST00000381089	VCX3A
ENST00000398729	VCX3A
ENST00000612369	VCX3A
ENST00000353172	KCTD14
ENST00000533144	KCTD14
ENST00000421412	IL17RE
ENST00000383814	IL17RE
ENST00000454190	IL17RE
ENST00000454992	IL17RE
ENST00000568294	RP11-382A20.3
ENST00000299633	RP11-382A20.3
ENST00000265715	SLC26A4
ENST00000440056	SLC26A4
ENST00000418814	FAM135A
ENST00000505769	FAM135A
ENST00000515323	FAM135A
ENST00000515280	FAM135A
ENST00000507085	FAM135A
ENST00000457062	FAM135A
ENST00000361499	FAM135A
ENST00000505868	FAM135A
ENST00000370479	FAM135A
ENST00000308488	RSF1
ENST00000480887	RSF1
ENST00000531026	RSF1
ENST00000526324	RSF1
ENST00000532556	RSF1
ENST00000528095	RSF1
ENST00000440064	RSF1
ENST00000537098	CMIP
ENST00000539778	CMIP
ENST00000566513	CMIP
ENST00000398040	CMIP
ENST00000566462	CMIP
ENST00000621537	CMIP
ENST00000477522	PARP9
ENST00000492382	PARP9
ENST00000360356	PARP9
ENST00000471785	PARP9
ENST00000462315	PARP9
ENST00000466126	PARP9
ENST00000392129	TMCO1
ENST00000367881	TMCO1
ENST00000580248	TMCO1
ENST00000464650	TMCO1
ENST00000481278	TMCO1
ENST00000612311	TMCO1
ENST00000628579	TMCO1
ENST00000297001	C7orf72
ENST00000431515	PKMYT1
ENST00000440027	PKMYT1
ENST00000262300	PKMYT1
ENST00000575040	PKMYT1
ENST00000574385	PKMYT1
ENST00000574730	PKMYT1
ENST00000573944	PKMYT1
ENST00000576268	PKMYT1
ENST00000574415	PKMYT1
ENST00000575632	PKMYT1
ENST00000572059	PKMYT1
ENST00000572619	PKMYT1
ENST00000373768	NDUFA8
ENST00000431830	PFDN6
ENST00000432391	PFDN6
ENST00000451970	PFDN6
ENST00000468094	PFDN6
ENST00000547641	PFDN6
ENST00000263388	NOTCH3
ENST00000597756	NOTCH3
ENST00000601011	NOTCH3
ENST00000346477	SIGLEC6
ENST00000359982	SIGLEC6
ENST00000436458	SIGLEC6
ENST00000343300	SIGLEC6
ENST00000425629	SIGLEC6
ENST00000391797	SIGLEC6
ENST00000254663	SCLY
ENST00000413463	SCLY
ENST00000409736	SCLY
ENST00000412508	SCLY
ENST00000416757	SCLY
ENST00000431487	SCLY
ENST00000437134	SCLY
ENST00000450965	SCLY
ENST00000440143	SCLY
ENST00000433750	SCLY
ENST00000231198	THG1L
ENST00000302622	OR6Q1
ENST00000615652	LILRA3
ENST00000620042	LILRA3
ENST00000613018	LILRA3
ENST00000616964	LILRA3
ENST00000615416	LILRA3
ENST00000541421	SMLR1
ENST00000200453	PPP1R15A
ENST00000600406	PPP1R15A
ENST00000499869	WDR1
ENST00000502702	WDR1
ENST00000508079	WDR1
ENST00000382451	WDR1
ENST00000382452	WDR1
ENST00000446864	SPANXN4
ENST00000370504	SPANXN4
ENST00000378017	MTSS1
ENST00000518547	MTSS1
ENST00000519168	MTSS1
ENST00000325064	MTSS1
ENST00000431961	MTSS1
ENST00000524090	MTSS1
ENST00000523179	MTSS1
ENST00000522118	MTSS1
ENST00000522162	MTSS1
ENST00000254803	UTP3
ENST00000369476	MTCP1
ENST00000362018	MTCP1
ENST00000393067	POU2AF1
ENST00000531398	POU2AF1
ENST00000283752	SERPINB3
ENST00000332821	SERPINB3
ENST00000356424	SERPINB3
ENST00000601804	ZNF347
ENST00000334197	ZNF347
ENST00000601469	ZNF347
ENST00000597183	ZNF347
ENST00000595967	ZNF347
ENST00000599096	ZNF347
ENST00000452676	ZNF347
ENST00000530752	TEX12
ENST00000280358	TEX12
